Province,1998,2005,2011
Tehran,1410,79,173
Khuzestan,1064,0,0
Markazi,914,15,11
Alborz,846,143,237
Golestan,812,135,162
Qom,737,154,135
Hamedan,733,192,0
Mazandaran,598,30,0
Sistan-Baluchestan,515,15,30
Qazvin,519,75,90
Kurdestan,444,41,0
Gilan,429,83,233
Khorasan-Razavi,308,8,0
Zanjan,139,19,71
Semnan,113,11,15
Esfahan,109,71,11
Azerbaijan-sharqi,83,0,0
Lorestan,75,0,0
Kermanshah,53,60,0
Ardebil,41,4,0
Azerbaijan-gharbi,19,0,0
Yazd,0,0,0
Fars,0,0,0
Kerman,0,0,0
Ilam,0,0,0
Kohkiluye-Boyerahmad,0,0,0
Bushehr,0,0,0
Chaharmahal-Bakhtiari,0,0,0
Khorasan-jonoubi,0,0,0
Khorasan-shomali,0,0,0
Hormozgan,0,0,0
