Week,2006,2007,2008,2009,2010,2011,2012,2013,2014,2016,2017,2018
1,0,776,187,71,74,21,69,147,49,0,29,125
2,0,856,250,53,65,19,132,68,40,0,27,99
3,0,808,262,73,24,38,76,154,16,0,38,46
4,0,1114,0,71,20,104,55,75,9,0,33,78
5,0,1448,194,46,11,40,30,32,11,0,29,45
6,0,952,187,46,31,33,37,13,9,0,19,27
7,0,760,219,39,51,21,23,18,12,0,14,45
8,0,808,0,34,49,19,23,104,4,0,18,27
9,0,904,0,25,49,0,26,140,3,0,15,46
10,0,728,312,25,44,13,33,47,5,0,17,47
11,491,0,387,21,22,5,46,68,7,0,12,52
12,1014,0,406,27,49,0,30,97,4,0,8,7
13,1798,0,554,21,71,0,30,47,4,0,8,0
14,3432,0,431,17,53,0,56,39,0,0,11,0
15,5521,0,500,32,177,0,32,68,2,0,3,0
16,5177,0,500,32,200,5,26,39,0,0,1,0
17,5742,0,500,29,132,5,16,75,2,0,8,0
18,5512,0,369,38,74,31,12,255,0,0,12,0
19,4281,0,481,27,42,0,14,75,1,0,1,0
20,3432,0,356,31,29,0,5,90,7,0,11,0
21,2517,0,275,23,35,13,5,83,4,0,6,0
22,1863,0,181,25,15,38,0,47,0,0,5,0
23,1471,0,94,23,8,33,10,32,1,0,11,0
24,1210,0,81,30,11,56,0,13,0,0,17,0
25,1079,0,62,30,8,88,3,0,0,0,1,0
26,687,0,25,10,0,15,17,0,0,0,5,0
27,621,0,31,23,4,21,5,25,0,0,8,0
28,687,0,37,15,8,27,0,18,0,0,3,0
29,817,0,25,11,0,7,0,13,0,0,4,0
30,425,0,19,8,8,5,0,18,0,0,0,0
31,229,0,25,8,0,9,14,13,0,0,0,0
32,164,0,0,16,0,0,14,18,0,0,0,0
33,164,0,0,12,0,0,7,25,0,0,0,0
34,164,26,25,60,0,0,0,0,0,0,6,0
35,295,0,11,38,0,0,0,18,0,0,1,0
36,229,0,0,25,0,0,0,39,0,0,5,0
37,229,26,0,21,0,0,0,25,0,0,0,0
38,229,105,0,27,0,5,12,83,0,0,0,0
39,164,265,0,12,0,11,0,54,0,0,0,0
40,164,105,0,11,78,27,0,61,0,0,16,0
41,360,137,22,21,53,66,7,104,0,0,0,0
42,556,121,22,27,35,40,23,169,0,0,0,0
43,687,26,62,0,99,74,0,248,0,0,0,0
44,948,26,25,20,69,19,3,392,0,0,2,0
45,752,26,25,45,40,33,26,392,0,0,0,0
46,1014,26,62,11,15,74,104,638,0,0,0,0
47,752,73,81,4,62,66,49,499,0,0,0,0
48,817,169,81,9,35,42,151,499,0,0,0,0
49,883,105,106,0,17,44,129,190,0,0,0,0
50,752,89,131,1,29,100,157,97,0,0,0,0
51,883,153,194,2,15,176,90,97,0,30,7,0
52,948,185,69,12,24,80,108,97,0,35,93,0
