Epidemiological week,2014,2015,2016
1,294,816,1158
2,232,810,1052
3,204,653,945
4,193,580,889
5,199,962,721
6,187,788,608
7,193,861,681
8,182,760,563
9,137,771,580
10,120,642,563
11,126,569,586
12,114,474,519
13,131,507,524
14,137,620,524
15,131,726,474
16,148,513,451
17,171,592,496
18,120,468,659
19,120,361,614
20,154,288,743
21,154,283,563
22,165,238,693
23,171,305,766
24,154,311,681
25,143,317,614
26,204,317,614
27,199,288,485
28,187,345,451
29,137,356,833
30,137,412,681
31,126,361,580
32,137,266,592
33,176,356,524
34,215,305,429
35,199,356,
36,238,333,
37,311,395,
38,401,378,
39,513,367,
40,586,519,
41,659,429,
42,799,384,
43,1007,558,
44,1024,575,
45,1456,900,
46,1231,1052,
47,1529,1035,
48,1276,1052,
49,1119,1007,
50,1355,1091,
51,1074,1057,
52,855,951,
